country,year,ev_sales_share,ev_stock,ev_stock_share,charging_points
Colombia,2015,0.024,124.0,0.0036,
India,2019,0.024,8607.0,0.022,2330.0
Israel,2015,0.024,1340.0,0.056,
Brazil,2017,0.023,680.0,0.0022,
Korea,2011,0.023,340.0,0.002,350.0
Israel,2014,0.022,1270.0,0.056,
Israel,2016,0.022,1400.0,0.054,
New Zealand,2011,0.022,29.0,0.001,
Rest of the world,2014,0.022,5170.0,0.0049,
India,2010,0.021,880.0,0.0051,
Malaysia,2016,0.021,1832.0,0.019,
Brazil,2018,0.02,1050.0,0.0034,30.9
Chile,2015,0.019,69.0,0.0023,27.0
Rest of the world,2012,0.019,2198.0,0.0022,
Poland,2012,0.018,,,
Thailand,2017,0.018,402.0,0.0027,96.0
India,2015,0.017,4400.0,0.015,
Turkiye,2016,0.017,630.0,0.0062,11.0
India,2013,0.016,2900.0,0.012,
Turkiye,2012,0.016,,,
Chile,2016,0.015,100.0,0.0032,27.0
New Zealand,2010,0.015,14.0,0.00048,
Turkiye,2017,0.015,740.0,0.0069,69.0
Colombia,2014,0.014,77.0,0.0024,
Poland,2011,0.014,,,
Poland,2013,0.013,,,
United Kingdom,2010,0.013,1521.0,0.0053,
Colombia,2012,0.012,27.0,0.00088,
Colombia,2013,0.012,50.0,0.0016,
France,2010,0.012,300.0,0.00096,
Indonesia,2019,0.012,49.0,0.00044,
Turkiye,2014,0.012,260.0,0.0027,
USA,2010,0.012,3800.0,0.0017,480.0
Brazil,2016,0.011,325.0,0.001,
Belgium,2010,0.01,71.0,0.0013,
